TOOLTIP_STORED_EXP	Experienta stocata: %s
PETBOX_DESC10B	Slot skill 3: gol
PETBOX_DESC11B	Slot skill 4: gol
PETBOX_DESC8C	Slot skill 1: %s (%d)
PETBOX_DESC9C	Slot skill 2: %s (%d)
PETBOX_DESC10C	Slot skill 3: %s (%d)
PETBOX_DESC11C	Slot skill 4: %s (%d)
PET_EVOLUTION1	normal
PET_EVOLUTION2	salbatic
PET_EVOLUTION3	curajos
PET_EVOLUTION4	eroic
SUBTEXT_OFFLINESHOP_TEXT15	Nume:
SUBTEXT_OFFLINESHOP_TEXT16	Pret:
CLOSE_AUCTION	inchide
CUBE_CATEGORY1	Arme
CUBE_CATEGORY2	Armuri
CUBE_CATEGORY3	Bijuterii
CUBE_CATEGORY4	Varie
CUBE_CATEGORY5	Bratari Lv. 90 [PvP]
CUBE_CATEGORY6	Bijuterii Lv. 100 [PvP]
CUBE_CATEGORY7	Curele [PvP]
CUBE_CATEGORY8	Curele [PvM]
CUBE_CATEGORY9	Coliere Lv. 90 [PvP]
CUBE_CATEGORY10	Cercei Lv. 90 [PvP]
CUBE_CATEGORY11	Arme Lv. 80 [PvP]
CUBE_CATEGORY12	Arme Lv. 90 [PvP]
CUBE_CATEGORY13	Arme Lv. 100 [PvP]
CUBE_CATEGORY14	Arme Lv. 105 [PvM]
CUBE_CATEGORY15	Armuri Lv. 80 [PvM]
CUBE_CATEGORY16	Armuri Lv. 90 [PvM]
CUBE_CATEGORY17	Armuri Lv. 110 [PvM]
CUBE_CATEGORY18	Armuri Lv. 90 [PvP]
CUBE_CATEGORY19	Armuri Lv. 105 [PvP]
CUBE_CATEGORY20	Armuri Lv. 110 [PvP]
CUBE_CATEGORY21	Papuci Lv. 105 [PvP]
CUBE_CATEGORY22	Papuci Lv. 100 [PvM]
CUBE_CATEGORY23	Coif-uri Lv. 115 [PvP]
CUBE_CATEGORY24	Coif-uri Lv. 80 [PvM]
CUBE_CATEGORY25	Coif-uri Lv. 95 [PvM]
CUBE_CATEGORY26	Coif-uri Lv. 105 [PvP]
CUBE_CATEGORY27	Mount-uri (Permanente)
CUBE_CATEGORY28	Pet-uri (Permanente)
CUBE_CATEGORY29	Creare Pietre Lucioase
CUBE_CATEGORY30	Creare Pietre Lucioase 1
CUBE_CATEGORY31	Creare Pietre Lucioase 2
CUBE_CATEGORY32	Creare Pietre Lucioase 3
CUBE_CATEGORY33	Creare Pietre Lucioase 4
CUBE_CATEGORY34	Creare Pietre Lucioase 5
CUBE_CATEGORY35	Creare Pietre Lucioase 6
CUBE_CATEGORY36	Creare Pietre Lucioase 7
CUBE_CATEGORY37	Creare Pietre Lucioase 8
CUBE_CATEGORY38	Creare Pietre Lucioase 9
CUBE_CATEGORY39	Creare Pietre Lucioase 10
CUBE_CATEGORY40	Creare Pietre Lucioase 11
CUBE_CATEGORY41	Creare Pietre Lucioase 12
CUBE_CATEGORY42	Creare Pietre Lucioase 13
CUBE_CATEGORY999	Altele
SYSTEM_OPTION_CPU_TILING_1	Modul grafic CPU poate imbunatati viteza unui PC mai slab.
SYSTEM_OPTION_CPU_TILING_2	Daca aveti probleme cu grafica, selectati optiunea Sistem "sau CONFIG.exe"
SYSTEM_OPTION_CPU_TILING_3	si treceti la modalitatea grafica GPU.
SYSTEM_OPTION_GPU_TILING_1	Modul grafic GPU poate reduce viteza unui PC mai slab.
SYSTEM_OPTION_GPU_TILING_2	Daca aveti probleme cu grafica, selectati optiunea Sistem "sau CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	si treceti la modalitatea grafica CPU.
SYSTEM_OPTION_TILING_EXIT	Jocul trebuie repornit pentru a schimba modul grafic.
PETSKILL_COOLDOWN	Timp de asteptare: %s sec
PETSKILL_HP	PV Restaurat: %s
PETSKILL_INVICIBLE	Invincibil pentru: %s sec
ITEM_PRICE_TITLE	[ Pret ]
ITEM_IS_WORTH	Pret: x%d |Eemoji/%s|e %s
ITEM_IS_FREE	Pret: Gratis
ITEM_IS_YANG	Pret: %s
DO_YOU_BUY_ITEM_NORMAL	Vrei sa cumperi %d %s?
CHATTING_SETTING_LEFT1	Click dreapta pe filtru pentru a-l elimina.
CHATTING_SETTING_LEFT2	Filtrul general nu poate fi eliminat.
CHAT_TYPE_INFO_EXP	Exp
CHAT_TYPE_INFO_ITEM	Item
CHAT_TYPE_INFO_VALUE	Valuta
CHATTING_SETTING_ADD	Adauga filtru
CHATTING_SETTING_ADD_MAX	Ai atins limita maxima.
CHATTING_SETTING_CHANGE_TITLE_NAME	Vrei sa salvezi numele acestui chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Nu poti edita numele chat-ului general.
CHATTING_SETTING_CHANGE_TITLE_NOT2	Spatiul nu potea fi folosit in numele chat-ului.
CHATTING_SETTING_CHANGE_TITLE_NOT3	Numele chat-ului nu poate sa contina mai mult de 6 caractere.
CHATTING_SETTING_CHANGE_TITLE_NOT4	Numele este gol.
CHATTING_SETTING_SETTING	Setari
TOOLTIP_DOUBLE_DROP_ITEM	Drop-ul va fi dublat	SNA
TOOLTIP_IRR_WEAPON_DEFENSE	 %d%% intrerupe apararea armelor	SA
EMOTION_SIRENA	Sirena
EMOTION_WEATHER	Vreme
EMOTION_PUSHUP	Flotare
WINDOW_TXT1	Nivel minim: %s
WINDOW_TXT2	Nivel maxim: %s
WINDOW_TXT3	Nu detii itemele necesare pentru a intra.
WINDOW_TXT4	Iteme necesare:
WINDOW_TXT5	Vrei sa fii teleportat in harta %s?
WINDOW_TXT6	Nu ai suficient Yang!
DAILYGIFT_TXT1	Zi %d
DAILYGIFT_TXT2	Ridica
DAILYGIFT_TXT3	Recompensa zilnica:
QUESTION_DLG_CHANGELANGUAGE	Doresti sa schimbi limba?
QUESTION_DLG_REMOVEACC	Doresti sa stergi %s?
MINIMAP_SHOW_BLOCKPVP	Blocheaza previzualizarea echipamentului in duel [F10]
MINIMAP_SHOW_UNBLOCKPVP	Deblocheaza previzualizarea echipamentului in duel [F10]
SKILL_CHANGE_AVAILABLE	Schimbari ramase: %d
DUEL_MINIWINDOW_OVER_SLOT	Facând click pe aceasta imagine vei deschide panoul duelului.
PET_MINIWINDOW_OVER_SLOT	Apasând "P" sau facând click pe acest slot ei deschide panoul pet-ului.
RENDER_TITLE	Previzualizare
MINIMAP_SHOW_WIKI	Wiki [H]
MINIMAP_SHOW_DUNGEONINFO	Informatii dungeon-uri [F7]
MINIMAP_SHOW_DAILYGIFT	Recompensa zilnica
MINIMAP_SHOW_BIOLOGIST	Misiunile biologului
MINIMAP_SHOW_TELEPORT	Teleporter [U]
MINIMAP_SHOW_SAVEPOINT	Salveaza locatia [F11]
MINIMAP_SHOW_OFFLINESHOP	Magazin offline [Y]
RUNE_IS_UNLOCKED1	Ai deblocat runele.
RUNE_IS_UNLOCKED2	Dar inainte trebuie sa aflii despre ce este vorba, citeste scrisoarea pe care ai primit-o.
TOOLTIP_APPLY_STOLA_COSTUME1A	Tare vs Monstrii - min: %d%% si max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME2A	Tare impotriva Metine - min: %d%% si max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME2B	Vitalitate - min: +%d si max: +%d
TOOLTIP_APPLY_STOLA_COSTUME3A	Tare impotriva Sefilor - min: %d%% si max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME3B	Inteligenta - min: +%d si max: +%d
TOOLTIP_APPLY_STOLA_COSTUME4A	Tare vs Semi-Oameni - min: %d%% si max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME5A	rezistenta la Semi-Oameni - min: %d%% si max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME5B	Putere - min: +%d si max: +%d
TOOLTIP_APPLY_STOLA_COSTUME6A	Max. PV - min: +%d si max: +%d
GRADE_STOLA	[Grad: %d]
SUPPORT_ERR1	Trebuie sa evoci suportul mai intâi!
SUPPORT_ERR2	Poti adauga doar iteme ce pot fi echipate de samani.
SUPPORT_ERR3	Nu poti adauga acest item.
SUPPORT_ERR4	Item-ul nu este pentru acest sex!
SUPPORT_CONFIRM	Doresti sa continuii?
SUPPORT_CONFIRM2	Sigur vrei sa stergi itemul echipat?
SUPPORT_CONFIRM3	Doresti sa inlocuiesti?
AFFECT_NEW_POTION1	Fiola Portocalie
AFFECT_NEW_POTION2	Fiola Galbena
AFFECT_NEW_POTION3	Fiola Albastra
AFFECT_NEW_POTION4	Fiola Rosie
AFFECT_NEW_POTION5	Fiola Verde
AFFECT_NEW_POTION6	Fiola Violet
AFFECT_NEW_POTION7	Roua Albastra
AFFECT_NEW_POTION8	Roua Portocalie
AFFECT_NEW_POTION9	Roua Alba
AFFECT_NEW_POTION10	Roua Galbena
AFFECT_NEW_POTION11	Roua Rosie
AFFECT_NEW_POTION12	Roua Verde
AFFECT_NEW_POTION13	Lovitura Critica
AFFECT_NEW_POTION14	Lovitura Patrunzatoare
AFFECT_NEW_POTION15	Atacul Zeului Dragon
AFFECT_NEW_POTION16	Apararea Zeului Dragon
AFFECT_NEW_POTION17	Inteligenta Zeului Dragon
AFFECT_NEW_POTION18	Viata Zeului Dragon
AFFECT_NEW_POTION19	Elixir Viteza de Atac
AFFECT_NEW_POTION20	Potiune Verde(L) (Permanenta)
AFFECT_NEW_POTION21	Inel EXP
AFFECT_NEW_POTION22	Potiunea intelepciunei
AFFECT_NEW_POTION23	Manusa Tâlharului
NEW_POTION_STATUS_0	[Dezactivat(a)]
NEW_POTION_STATUS_1	[Activat(a)]
RUNE_POWER	Putere: %d%%
RUNE_POWER_CHARGE	Putere ramasa: %d%% din %d%%
RUNE_ACTIVATE	Doresti sa activezi %s?
RUNE_DEACTIVATE	Doresti sa dezactivezi %s?
RUNE_ACTIVATE_ALL	Doresti sa activezi toate runele disponibile?
RUNE_DEACTIVATE_ALL	Doresti sa dezactivezi toate runele disponibile?
RUNE_CHARGE	Vrei sa reincarci putearea %s cu %s?
RUNE_ACTIVATED_1	Una sau mai multe Rune a/au fost activat(a/e).
RUNE_ACTIVATED_2	Toate Runele sunt activate.
RUNE_LOCKED	Ai nevoie de level 70 pentru a debloca runele.
MAP_NAME_357	Piramida Antica
AFFECT_SKILL_QUESTION	Sigur vrei sa dezactivezi efectul abilitatii?
AFFECT_DROP_QUESTION1	Sigur doresti sa dezactivezi drop-ul acestui cont?
AFFECT_DROP_QUESTION2	Sigur doresti sa activezi drop-ul acestui cont?
TOOLTIP_DROP_BLOCK	Drop-ul acestui cont a fost dezactivat. Click aici pentru al activa.
TOOLTIP_DROP_UNBLOCK	Drop-ul acestui cont a fost activat. Click aici pentru al dezactiva.
TOOLTIP_APPLY_ATTBONUS_RUNE	+%d%% tare vs monstrii Rune	SA
MAP_NAME_218	Dungeon Rune
UI_CHOOSE_LANGUAGE	Alege limba:
UI_END	inchide
UI_GETIN	Intra acum
WHISPER_ADMIN_SEND_MESSAGE	Trimite mesajul
WHISPER_ADMIN_CLEAR_MESSAGE	Sterge text-ul
WHISPER_ADMIN_CANCEL_ACTION	Termina actiunea
WHISPER_ADMIN_LEN_TEXT	[i] Minim / maxim caractere: |cFF7cff00%d|r / |cFFff0000%d|r
WHISPER_ADMIN_CUR_LANG	[i] Limba selectata: |cFFffce00[%s]
WHISPER_ADMIN_TITLE_NAME	GM: Trimite mesajul pentru aceasta tara.
WHISPER_ADMIN_MESSAGE	[Server] : [%s] : %s
WHISPER_ADMIN_MESSAGE2	[Server] : [%s] :%s
WHISPER_ADMIN_QUESTION_SEND	Sigur doresti sa trimiti mesajul?
WHISPER_ADMIN_CANNOT_SEND_MESSAGE	Nu poti raspunde sistemului.
KASMIR_MARKET_PRIVATESHOP_0	Standard
KASMIR_MARKET_PRIVATESHOP_1	O mie si una de nopti
KASMIR_MARKET_PRIVATESHOP_2	Maestrul gratarului
KASMIR_MARKET_PRIVATESHOP_3	Vânator de comori
KASMIR_MARKET_PRIVATESHOP_4	Flacara minima
KASMIR_MARKET_PRIVATESHOP_5	Vanzator de arme
KASMIR_MARKET_PRIVATESHOP_6	Vanzare de arme
KASMIR_MARKET_PRIVATESHOP_7	Alchimist
KASMIR_PAKET_STANDART	Standard
KASMIR_PAKET_FIRE	Foc
KASMIR_PAKET_ICE	Gheata
KASMIR_PAKET_PAPER	Hârtie
KASMIR_PAKET_RIBON	Scrisoare
KASMIR_PAKET_WING	Aripi
MINIMAP_BOSS_RESPAWN_TIME	Respawn: %d min.
ALERT_SASH_REMOVE_ATTR	Vrei sa continuii?
TOOLTIP_APPLY_ATTBONUS_MEDI_PVM	Paguba medie [PVM] %d%%	SA
TOOLTIP_APPLY_PVM_CRITICAL_PCT	+%d%% posibilitate de a cauza daune critice (PVM)	SA
PET_ASK_LEARN	Sigur vrei sa continuii?
PET_APPLY_MAX_HP_PCT	PV max. +%s%% 	SA
PET_APPLY_ATTBONUS_MONSTER	Tare vs monstrii +%s%%	SA
PET_APPLY_MEDI_PVM	Paguba medie [PVM] +%s%%	SA
PET_TIME_TOOLTIP	Durata: %d Zile %d Ore %d Minute
PET_TIME_TOOLTIP_INF	Durata: Infinita
PET_TIME_GUI	%d Hours
PET_TIME_GUI_OLD	Durata: %s / %s Ore
ALERT_REVIVE_PET	Sigur vrei sa hranesti pet-ul?
DS_SET_INFO	Activeaza 6 Pietre Dragon +6 pentru a primi urmatoarele bonusuri:
ASK_SEX_CHOOSE	Mai intâi trebuie sa alegi sexul!
COMB_ALERT	Bonusurile speciale vor fi sterse!
COMB_ALERT1	Pentru a putea continue trebuie mai intâi sa adaugi Pergamentul Transformarii.
COMB_ALERT2	Mai intâi trebuie sa adaugi costumul de pe care vor fi luate bonusurile.
COMB_ALERT3	Poti transfera doar bonusurile costumelor.
COMB_ALERT4	Poti transfera doar bonusurile costumelor doar daca sunt de acelasi tip.
COMB_ALERT5	Poti transfera doar bonusurile costumelor doar de corp.
COMB_ALERT6	Poti transfera doar bonusurile costumelor doar daca sunt de acelasi tip.
COMB_ALERT7	Costumul trebuie sa aiba cel putin un bonus!
VIEW_RENDERING	Apasa |Eemoji/key_ctrl|e pentru previzualizare.
DUEL_BLOCK_CHANGE_ITEM	[x] Schimba Item
DUEL_BLOCK_BUFF	[x] Buff
DUEL_BLOCK_POTION_RED	[x] Potiuni Rosii
DUEL_BLOCK_HORSE_MOUNT	[x] Cal/Mount
DUEL_BLOCK_PET	[x] Pet
DUEL_BLOCK_POLY	[x] Transformat
DUEL_BLOCK_PARTY	[x] Grup
DUEL_BLOCK_EXCHANGE	[x] Negot
DUEL_TARGET_NAME	Dueleaza cu:  
DUEL_MONEY_ADD	[i] Introdu
DUEL_MONEY_CANCEL	[i] Anuleaza
DUEL_MONEY_TITLE	[i] Pariaza Yang
DUEL_MONEY_CURRENT	Suma: 
DUEL_VICTIM_ERROR	<Notificare> Nu poti continua daca el/ea nu accepta.
DUEL_MONEY_ERROR_1	<Notificare> Poti introduce doar numere.
DUEL_MONEY_ERROR_2	<Notificare> Numarul este invalid.
DUEL_MONEY_ERROR_3	<Notificare> Nu detii aceasta suma.
DUEL_TITLENAME	Vizualizare echipament in duel
DUEL_EQUIP_BLOCK	Blocheaza
DUEL_EQUIP_UNBLOCK	Deblocheaza
DUEL_TITLENAME_EQUIP	Echipamentul adversarului:
DUEL_CHOOSE_BLOCK	Alege ce vrei sa blochezi:
DUEL_INFO_1	Nume prs.:
DUEL_INFO_2	Nume breasla:
DUEL_INFO_3	Nivel:
DUEL_INFO_4	Timp de joc:
DUEL_INFO_5	Câstigatorul pariului:
DUEL_INFO_6	Detaliile adversarului:
DUEL_LIVE_VICTIM_LEVEL	Nivel:
DUEL_LIVE_VICTIM_NAME	Nume:
COMMON_SKILL_143A	Creste valoarea atacului cu: %d%%
COMMON_SKILL_143B	Creste valoarea atacului magic cu: %d%%
COMMON_SKILL_144	Creste drop-ul de Yang cu: %d%%
COMMON_SKILL_145	Creste puterea vs monstrii cu: %d%%
COMMON_SKILL_146	Creste PV-UL cu: %d
NEW_EXCHANGE_ADDED	%s a adaugat %s.
NEW_EXCHANGE_YOU_READY	%s esti pregatit pentru a face negotul.
NEW_EXCHANGE_YOU_ACCEPT	%s ai acceptat negotul.
NEW_EXCHANGE_ACCEPT	%s %s a acceptat negotul.
NEW_EXCHANGE_YOU_ABORT	%s ai anulat negotul.
NEW_EXCHANGE_ABORT	%s %s a anulat negotul.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	Esti pe cale sa dai iteme pe nimic si nu vei
NEW_EXCHANGE_ALERT2	primii inapoi in caz de furt.
EXCHANGE_TITLE	schimbi cu %s
EXCHANGE_TITLE_LEVEL	schimbi cu %s (%d)
USE_200_ITEMS	|Eemoji/key_rclick|e + |Eemoji/key_ctrl|e Pentru a folosi tot stack-ul.
INFO_INCREASE_CHAR_STAT	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Pentru a creste cu 10 puncte.
SKILL_COLOR_SELECT_FIRST	Mai intâi alege o culoare.
SKILL_COLOR_PICK_TOOLTIP	Alege culoarea dorita pentru %s. (Cod HEX : %s)
SKILL_COLOR_PRESET_TOOLTIP_TITLE	Reseteaza Culoarea
SKILL_COLOR_PRESET_TOOLTIP_1	Poti salva culoarea aleasa daca doresti.
SKILL_COLOR_PRESET_TOOLTIP_2	Iar daca vei avea nevoie de aceeasi culoare va fi de ajuns
SKILL_COLOR_PRESET_TOOLTIP_3	sa introduci codul din lista.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_TITLE	Codul culorii
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_1	Poti folosi o culoare personalizata folosind codul acesteia HEX.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_2	De exemplu: #FFFFFF (Alb).
SKILL_COLOR_DO_YOU_RESET	Vrei sa resetezi culoarea abilitatii?
SKILL_COLOR_DO_YOU_CHANGE	Vrei sa schimbi culoarea abilitatii?
SKILL_COLOR_SELECT_PRESET	Alege o culoare.
SKILL_COLOR_SELECT_PRESET_NONE	Nici o culoare salvata.
SKILL_COLOR_CANNOT_SAVE	Nu poti salva alte culori.
ENVANTER_KEY_NEED	Ai nevoie de inca %s chei.
ENVANTER_EXPANS_1	Vrei sa extinzi inventarul cu ajutorul a %s chei?
SHOP_NOT_ENOUGH_ITEM	Nu detii itemele necesare pentru a completa aceasta achizitie.
SELECT_YES_GUILD	Numele breslei: %s
EMPIRE_SELECT	Selecteaza
CHARACTER_CREATE_MALE	Barbat
CHARACTER_CREATE_FEMALE	Femeie
CHARACTER_CREATE_APPEARANCE1	Still 1
CHARACTER_CREATE_APPEARANCE2	Still 2
INTRO_SELECT_LEVEL	Lv. %d
GRADE_CIANITE_EPIC	[Grad Epic]
GRADE_CIANITE_LEGG	[Grad Legendar]
GRADE_CIANITE_ANTIC	[Grad Antic]
GRADE_CIANITE_MISTC	[Grad Mistic]
REFINE_ERROR_ADD_PERC_STONES	[imbunatatire] Nu poti adauga potiuni la imbunatatirea pietrelor.
REFINE_COST_UPGRADE	[i] Cost de imbunatatire
REFINE_CURRENT_ITEM	[i] Item actual
REFINE_NEXT_ITEM	[i] Item dupa upp
REFINE_NEED_ITEMS	[i] Iteme cerute
REFINE_PERCENTAGE_LOW	+5%
REFINE_PERCENTAGE_MEDIUM	+10%
REFINE_PERCENTAGE_EXTRA	+15%
REFINE_INCREASE_PERCENTAGE	[Extra + %d%%]
REFINE_ERROR_ITEM_VNUM	[imbunatatire] Nu poti adauga acest item.
REFINE_ERROR_ITEM_COUNT	[imbunatatire] Poti adauga maxim 1 potiune de tip.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[imbunatatire] Procentul total este de 100%.
REFINE_ERROR_ADD_PERC_STONES	[imbunatatire] Nu poti adauga potiuni la imbunatatirea potiunilor.
HIDE_COSTUME	Ascunde costume
SHOW_COSTUME	Arata costume
UI_CHANNEL_GO	Schimba
UI_CHANNEL_CLOSE	inchide
UI_CHANNEL_CHOOSE	Alege CH
UI_CHANNEL_REFRESH	Reimprospateaza
UI_CHANNEL_YET_ON_THIS_CH	Deja te aflii pe acest CH.
TOOLTIP_APPLY_ATTBONUS_ELEC	Puterea Fulgerului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Puterea Focului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Puterea Ghetii +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Puterea Vântului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Puterea Pamântului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Puterea intunericului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_SPADA	intrerupe apararea sabie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_SPADONE	intrerupe apararea armei de doua-mâini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_PUGNALE	intrerupe apararea pumnale +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_FRECCIA	intrerupe apararea sageti +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_VENTAGLIO	intrerupe apararea evantai +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_CAMPANA	intrerupe apararea clopot +%d%%	SA
TOOLTIP_APPLY_RESIST_MEZZIUOMINI	rezistenta la Semi-Oameni %d%%	SA
TOOLTIP_APPLY_DEF_TALISMAN	Aparare: +%d	SA
TOOLTIP_APPLY_ATTBONUS_FORT_ZODIAC	Tare vs monstrii Zodiac +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_ARTIGLIO	intrerupe apararea gheara +%d%%	SA
SUPPORT_SKILL_VALUE	Valoarea abilitatii
SUPPORT_CHAR_TITLE	Buff Suport
LOCALIZATION_TITLE	Sistem Locatii
LOCALIZATION_DESC_BTN_EDIT	[i] Editeaza numele locatiei
LOCALIZATION_SAVE	Salveaza
UPDATE_GAYA_MARKET	doresti sa actualizezi piata Gaya?
EXPAND_GAYA	doresti sa extinzi piata Gaya?
GAYA_SYSTEM_UNIT_GAYA	Gaya
TIME_MIN_SEC	%dMin:%dSec
TIME_MIN	%dMin
CANNOT_CHANGE_FIGHT_MODE	Nu poti schimba modul de lupta in aceasta mapa.
DEFANCE_WAWE_MAST_TEXT	Catârgul Navei
DEFANCE_WAWE_GAUGE_TOOLTIP	PV: 990000000 /990000000
LOCALIZATION_TELEPORT	Teleport
LOCALIZATION_EDIT	Salveaza
LOCALIZATION_CANCEL	Anuleaza
LOCALIZATION_CHANGE_NAME	Salveaza numele locatiei
TARGET_INFO_DAMAGE	Daune : %s - %s
TARGET_INFO_DEFENSE	Aparare : %s
TARGET_INFO_EXP	Experienta : %s
TARGET_INFO_MAINRACE	Rasa : %s
TARGET_INFO_MAX_HP	Max. PV : %s
TARGET_INFO_NO_ITEM_TEXT	Nici un item disponibil.
TARGET_INFO_NO_RACE	Gol
TARGET_INFO_RACE_METIN	Metin
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	intunecat
TARGET_INFO_RACE_DEVIL	Diavol
TARGET_INFO_RACE_EARTH	Pamânt
TARGET_INFO_RACE_ELEC	Fulger
TARGET_INFO_RACE_FIRE	Foc
TARGET_INFO_RACE_HUMAN	Semi-Om
TARGET_INFO_RACE_ICE	Gheata
TARGET_INFO_RACE_MILGYO	Mistic
TARGET_INFO_RACE_ORC	Orc
TARGET_INFO_RACE_UNDEAD	Vampir
TARGET_INFO_RACE_WIND	Vânt
TARGET_INFO_STONE_NAME	Piatra fantoma
TARGET_INFO_SUBRACE	Subspecii : %s
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_EMPTY_ATTR	- Gol -
SWITCHBOT_SELECT_ATTR	Selecteaza bonusul
SWITCHBOT_CLEAR_ATTR	Sterge
SWITCHBOT_CONFIGURATION_TITLE	Setari salvate
SWITCHBOT_SAVE_BUTTON	Deschide salvarile
SWITCHBOT_SAVE	Salveaza
SWITCHBOT_LOAD_CONFIGURATION	incarca
SWITCHBOT_CLEAR_CONFIGURATION	Curata
SASH_REFINE_COST	Pret absorbtie: %d
SASH_ABSORB_CHANCE	Rata de absorbire: %d%%
SASH_ABSORB_CHANCE2	Rata de absorbire: %d%% ~ %d%%
SASH_DO_YOU_CLEAN	Vrei sa stergi toate bonusurile disponibile?
SASH_FAILURE_CLEAN	Nici un bonus nu poate fi sters.
SASH_DEL_SERVEITEM	Esarfa 2 va fi distrusa.
SASH_DEL_ABSORDITEM	Absorbi item-ul, distrugându-l in acest proces?
LOGIN_FAILURE_WRONG_VERSION	Versiunea clientul-ui tau este veche. Te rugam sa actualizezi.
DETAILS_79	Paguba medie [PVM]
DETAILS_CATE_7	BONUSURI ALTERNATIVE
DO_YOU_BUY_ITEM3	Vrei sa cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM4	Vrei sa cumperi %s (%s unitate) pentru %s Yang?
FINDM_BUTTON_01	Retrage
FINDM_BUTTON_02	imbunatateste
FINDM_POPUP_01	Nu ai toate obiectele necesare pentru a deschide mini jocul.
FINDM_POPUP_02	Nu ai destul(e) %s.
FINDM_POPUP_03	Nu se mai poate folosi.
FINDM_POPUP_04	Aceasta este deja recompensa imbunatatita.
FINDM_POPUP_05	Nu ai destul Yang pentru mini joc.
FINDM_POPUP_06	Daca nu o invârti in %d secund(e), cele 3 carti vor fi invârtite automat.
FINDM_QUESTION_01	Vei consuma %d Yang si %s.\nContinuii?
FINDM_QUESTION_02	Reincerci sa folosesti %s %d?
FINDM_QUESTION_03	Recompensa: %s
FINDM_QUESTION_04	Un nou tentativ? in cazul in care esueaza recompensa actuala va ramâne a ta.
FINDM_QUESTION_05	Termina jocul si retrage recompensa?
FINDM_TOOLTIP_01	Daca nu faci nimic in intervalul de timp aratat, cele 3 carti vor fi invârtite automat.
GUILDLAND_ABANDON_VOTE	Donezi pamântul breslei tale catre breasla %s.
GUILDLAND_ABANDON_VOTE_RESULT1	Pamântul breslei a fost donat catre breasla %s.
GUILDLAND_ABANDON_VOTE_RESULT2	Pamântul breslei a fost donat.
GUILDLAND_ABANDON_VOTE_RESULT3	Rezultatul sondajului:
GUILDLAND_ABANDON_VOTE_RESULT4	Sondajul este invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Sigur vrei sa incepi sondajul?
GUILDLAND_ABANDON_VOTE_TEXT1	Votezi pro pentru donarea pamântului al breslei?
GUILDLAND_DEAL	Vinde terenul breslei
GUILDLAND_DEAL_TEXT1	Breasla %s vrea sa vânda terenul acesteia,
GUILDLAND_DEAL_TEXT2	pentru %s Yang.
GUILDLAND_DEAL_TEXT3	Accepti oferta?
GUILDLAND_DELA_VOTE	Breasla %s doreste sa achizitioneze terenul.
GUILDLAND_DELA_VOTE_RESULT1	Vânzarea terenului catre breasla %s.
GUILDLAND_DELA_VOTE_RESULT2	Sondajul a luat sfârsit.
GUILDLAND_DELA_VOTE_RESULT3	Rezultatul sondajul pentru vinderea terenului:
GUILDLAND_DELA_VOTE_RESULT4	Sondajul este invalid.
GUILDLAND_DELA_VOTE_TEXT	A care-i bresle vrei sa vinzi terenul?
GUILDLAND_DELA_VOTE_TEXT1	Votezi pro pentru vânzarea pamântului al breslei?
GUILDLAND_VOTE_TEXT	Vrei sa dai pamântul in gestiunea breslei %s?
GUILDVOTE_CHANGEMASTER	Schimba Seful breslei.
GUILDVOTE_CHANGEMASTER_RESULT1	Breasla a fost cedata.
GUILDVOTE_CHANGEMASTER_RESULT2	Breasla %s ti-a fost cedata tie.
GUILDVOTE_CHANGEMASTER_RESULT3	Cedeaza breasla catre membrul %s.
GUILDVOTE_CHANGEMASTER_RESULT4	Sondajul este invalid.
